groupid,group_parent,group_img,group_hidden,group_filename,group_minagemonths,group_maxagemonths,group_gender,group_catid,group_order,group_keywords,group_metadesc,group_metatitle,group_desc,group_name,group_minlevelforsee,
"55264","35384","69931/images/Hire_Flooring___Carpets_Category_HIB.jpg"," ","Party_Hire_Auckland_Red_Carpets_Dance_Floors.html","0","0","_","101","100","","","Hire Red Carpets Dance Floors & Marquee Floors at PartyZone 09 4421442 ","Temporary Marquee Floors, Dance Floors, Carpets, Red Ropes","Hire Floors Carpets & Barriers","0",
"23577","0",," ",,"0","0","_","0","-1","","",,,"New Items","0",
"13333","13297","69931/images/101164/Category_hats.jpg",,"party-supplies_hats.html","0","0","_","99","100","Party Supplies Hats Headpieces Head Bands","Party Hats, Headpieces and Head Bands","Party Hats, Headpieces and Head Bands at PartyZone 09 4421442","","Hats, Headpieces & Head Bands","0",
"13394","13357","69931/images/101164/Category_30th.jpg",,"30th_Wedding-anniversary_party_supplies.html","0","0","_","97","6","30 wedding anniversary birthday party supplies banner balloon decorations","30th Birthday and Wedding Anniversary Party Supplies","30th Birthday and Wedding Anniversary Party Supplies at PartyZone 09 4421442 ","","30th","0",
"54165","13354","69931/images/Space_Odyssey.jpg"," ","Space-Odyssey-Party-Supplies.html","0","0","_","104","100","","","Party Supplies Space Odyssey at PartyZone 09 4421442 ",,"Space Odyssey","0",
"21441","13354","69931/images/101164/Category_Batman.jpg"," ","Batman_Party_Supplies.html","0","0","_","104","100","Batman Party Supplies","Batman Childrens Part Supplies","Batman Party Supplies at PartyZone 09 4421442 ","","Batman","0",
"112516","13354","69931/images/101164/categories/Category_Ninja_Turtles.jpg"," ",,"0","0",,"0","100",,,,,"Teenage Mutant Ninja Turtles","0",
"13273","13269","69931/images/101164/Category_Karaoke.jpg",,"Party_Hire_Auckland_Karaoke_Hire.html","0","0","_","101","100","Karaoke Hire Auckland","Karaoke Hire in the Auckland Area","Karaoke Hire at PartyZone 09 4421442 ","Karaoke Hire - big or small functions","Karaoke Hire","0",
"13392","13357","69931/images/101164/Category_18th.jpg",,"16th-and-18th-birthday-party_supplies.html","0","0","_","97","1","Birthday Party 18 balloons banner decorations","18th Birthday Party Supplies","16th & 18th Birthday Party Supplies at PartyZone 09 4421442 ",,"16th & 18th","0",
"13328","13295","69931/images/101164/Category_Napkins.jpg",,"Party_Supplies_Paper_Napkins.html","0","0","_","103","100","Party Supplies Napkins Serviettes","Party Napkins - Lots of Colours and Designs","Party Supplies Paper Napkins at PartyZone 09 4421442",,"Napkins","0",
"13269","0","69931/images/101164/Category_Party_Hire.jpg",,"Party-Hire-Auckland.html","0","0","_","101","1","Party Hire Auckland Jukeboxes Karaoke PA Systems Disco Lights Microphones Speakers Disco Lights Bubble Smoke Machines Tables Cake Tins","Hire Jukeboxes Lights Effects and Tables here","Party Hire Auckland Jukeboxes Lights effects and tables at PartyZone 09 4421442 ","Jukeboxes Audio Lights Popcorn Maker Cake Tins","Party Hire Auckland","0",
"13292","0","69931/images/101164/Category_Balloons.jpg",,"Balloons.html","0","0","_","104","6",,"Balloons & Helium Gas","Balloons & Helium Gas at PartyZone 09 4421442",,"Balloons & Helium Gas","0",
"21034","13354","69931/images/101164/Category_Sponge_Bob.jpg",,"Spongebob_party_supplies.html","0","0","_","104","100","Sponge Bob Children's Party supplies","Sponge Bob Children's Party supplies","Sponge Bob Children's Party supplies at PartyZone 09 4421442 ","","SpongeBob","0",
"20027","13354","69931/images/101164/Category_1st.jpg",,"1st_birthday_.themes.html","0","0","_","100","100",,"1st Birthday Themes and Party Supplies","1st Birthday Themes and Party Supplies at PartyZone 09 4421442 ",,"1st Birthday","0",
"13315","13293","69931/images/101164/Category_Centrepiece.jpg",,"Table_centrepieces.html","0","0","_","100","100",,"Table Centrepiece Party Decorations","Table Centre Pieces at PartyZone 09 4421442 ",,"Table Centrepieces","0",
"19045","13270","69931/images/101164/Category_Coolers.jpg",,"Inflatable_Drink_Cooler.html","0","0","_","100","100","Party Supplies Dring Coolers Inflatable","Inflatable Drink Coolers - includes some really funky ones","Inflatable Drink Coolers at PartyZone 09 4421442","Inflatable drink coolers - some really funky ones","Coolers","0",
"13373","13354","69931/images/101164/Category_Cars.jpg",,"disney-cars-party-supplies.html","0","0","_","104","100","Disney Cars Childrens Party Ware Supplies Amscan Scene Setters Room Border Rolls Add-Ons","Disney Cars Childrens Party Ware","Disney Cars Childrens Party Ware at PartyZone 09 4421442 ","","Disney Cars & Cars 2","0",
"34152","13354","69931/images/0/Category_Dora.jpg"," ","Dora-the-Explorer_party_supplies.html","0","0","_","104","100","Dora Explorer Childrens Party","Dora the Explorer Childrens Party","Dora the Explorer Childrens Partyware at PartyZone 09 4421442 ",,"Dora the Explorer","0",
"17204","13292","69931/images/101164/Category_Balloon_Kitset.jpg",,"Helium_Balloon_Kit.html","0","0","_","100","100",,"Helium Balloon Kit","Helium Balloon Kit - DIY at PartyZone 09 4421442 ","Everything You Need. Delivery Auckland area only","Helium Balloon Kit - DIY","0",
"13276","13269","69931/images/101164/Category_PA___Speakers.jpg",,"Sound_Hire.html","0","0","_","101","100","Party Hire Auckland PA System Speaker ","PA System and Speaker Hire in the Auckland area","Sound Hire","Sound hire, PA Systems, Microphones etc for every function","Sound Hire","0",
"16520","13292","69931/images/101164/Category_Helium.jpg",,"Helium-Cylinder-hire.html","0","0","_","100","100","Party Supplies Helium Balloon Gas Hire","Helium Balloon Gas & Cylinder Hire","Helium Cylinder Hire at PartyZone 09 4421442 ","Delivery Auckland only. Large sizes available.","Helium Cylinders (Balloon Gas)","0",
"13377","13354","69931/images/101164/Category_Jungle_Party.jpg",,"Jungle-Party_supplies.html","0","0","_","104","100","Jungle Children's Party Supplies","Jungle Children's Party Supplies","Jungle Children's Party Supplies at PartyZone 09 4421442 ","","Jungle & Jungle Buddies","0",
"13332","13297","69931/images/101164/Category_Wigs.jpg",,"Party_Supplies_Wigs.html","0","0","_","99","100","Party Supplies Wigs","Party Wigs - Huge selection","Party Wigs at PartyZone 09 4421442","","Wigs, Moustaches & Beards","0",
"13340","13354","69931/images/Category_Games.jpg",,"party-games.html","0","0","_","102","100",,,"Party Games for Children at PartyZone 09 4421442",,"Party Games for Children","0",
"13359","13353","69931/images/101164/Category_Luau.jpg",,"Luau-Hawaii-Parties.html","0","0","_","104","11","Luau Part Supplies Decorations Amscan Scene Setters Add-Ons Border Room Rolls ","Luau Part Supplies","Luau / Hawaii Part Supplies at PartyZone 09 4421442 ",,"Luau / Hawaii","0",
"13337","13295","69931/images/categories/Category_Party_Bags.jpg",,"Party-supplies_Bags.html","0","0","_","103","100","Party Supplies Loot Bags","Party Loot Bags - Plain and for Lots of Themes","Party Bags & Loot Bags at PartyZone 09 4421442 ","Loot Bags, Paper bags","Party Bags","0",
"13385","13354","69931/images/101164/Category_Winnie_the_Pooh.jpg",,"Winnie-The-Pooh_party_supplies.html","0","0","_","104","100","Winnie The Pooh Children's Party supplies","Winnie The Pooh Children's Party supplies","Winnie The Pooh Children's Party supplies at PartyZone 09 4421442 ","","Winnie The Pooh","0",
"18257","13269","69931/images/101164/Category_Cake_Tins.jpg",,"cake_tin_hire.html","0","0","_","98","100","Cake Tin Party Hire Auckland","Cake Tin Hire basic shape cake tin hire number cake tin hire theme cake tin hire","Cake Tin Hire at PartyZone 09 4421442",,"Cake Tin Hire","0",
"13326","13270","69931/images/101164/Category_Glasses_Tankards___bar.jpg",,"Yard-glass_party_supplies.html","0","0","_","103","100","Glasses Tankards Bar Yard Glasses","Glasses, Tankards & Bar - includes Yard Glasses","Glasses, Tankards & Bar at PartyZone 09 4421442 ","","Glasses, Yardies & Bar","0",
"13327","13295","69931/images/101164/Category_cups.jpg",,"Party_Supplies_Plastic_Cups.html","0","0","_","103","100","Party Supplies Cups","Party Cups","Party Supplies Plastic & Paper Cups at PartyZone 09 4421442",,"Cups Plastic and Paper","0",
"13317","13293","69931/images/101164/Category_Foil_Curtains.jpg",,"Party_supplies_Foil_curtain.html","0","0","_","100","100","Foil Curtain Party Supplies decorations","Foil Curtain Party decorations","Foil Curtain Party decorations at PartyZone 09 4421442","","Foil Curtains","0",
"13272","13269","69931/images/101164/Category_Juke_boxes.jpg",,"Jukebox-Hire.html","0","0","_","101","100","Digital Juke Box Hire Auckland Wurlitzer Sound Leisure","Juke Box Hire in the Auckland area","Jukebox Hire at PartyZone 09 4421442","The best on the Planet","Jukebox Hire","0",
"13369","13354","69931/images/101164/Category_Thomas.jpg",,"Thomas-The-Tank-Engine_party_supplies.html","0","0","_","104","100","Thomas Children's Party supplies","Thomas Children's Party supplies","Thomas Children's Party supplies at PartyZone 09 4421442 ","","Thomas The Tank Engine","0",
"56859","13354","69931/images/Category_Dr_Seuss.jpg"," ","Dr_Seuss_Childrens_Party_Supplies_at_Partyzone.html","0","0","_","104","100","","","Dr Seuss Childrens Party Supplies at PartyZone ph 09 4421442","","Dr Seuss","0",
"13419","13293","69931/images/101164/Category_Cut_Outs.jpg",,"Party-Signs_supplies.html","0","0","_","100","100","Cut Out Party decorations Supplies","Cut Out Party decorations","Cut Out Party decorations at PartyZone 09 4421442 ","","Cutouts","0",
"13319","13270","69931/images/101164/Category_Noise_Makers.jpg",,"children's-birthday-party-supplies.html","0","0","_","100","100","Party Supplies Noise Makers Horns Blow Outs","Party  Noise Makers, Horns, Blow Outs etc","Party  Noise Makers at PartyZone 09 4421442","","Noise Makers","0",
"20504","13270","69931/images/101164/Category_Inflatables.jpg",,"Party-Inflatables_supplies.html","0","0","_","100","100","Inflatable Party Supplies Decorations Drink Coolers ","Inflatable Party Decorations, Drink Coolers and some really fun items","Inflatable Party Decorations at PartyZone 09 4421442 ","Coolers and fun items","Inflatables","0",
"61836","13354","69931/images/Category_Ladybug.jpg"," ","Ladybug-party-supplies.html","0","0","_","104","100",,,"Lady Bug Party Supplies at PatyZone 094421442",,"Ladybug & Insects","0",
"29509","13270","69931/images/categories/Category_Invitations.jpg"," ","Party-Invitations.html","0","0","_","102","100","Party Invitations","Party Invitations","Party Invitations at PartyZone 09 4421442","","Invitations","0",
"13304","13292","69931/images/101164/Category_Balloon_Accessories.jpg",,"Balloon-Supplies.html","0","0","_","97","100",,"Balloon Supplies and  Accessories","Balloon Supplies and  Accessories at PartyZone 09 4421442 ",,"Balloon Accessories","0",
"13308","13292","69931/images/101164/Category_Balloons_5in.jpg",,"Small_Balloons.html","0","0","_","100","100",,"Small Balloons ","Small Balloons ","Suitable for air fill only. Great for bunches and table decorations.","Balloons - Small (125mm)","0",
"20065","13357","69931/images/101164/Category_25th.jpg",,"25th-anniversary-party_supplies.html","0","0","_","97","5","25 silver wedding anniversary party supplies balloons banner decorations","25th Wedding Anniversary Party Supplies","25th Wedding Anniversary Party Supplies at PartyZone 09 4421442 ","","25th/Silver","0",
"35467","35384","69931/images/Category_Table_Skirts.jpg"," ","Auckland_Party_Hire-Table-Skirts.html","0","0","_","101","100","Hire Table Skirts Linen Weddings Birthdays Events","Hire Table Skirts for Weddings Birthdays & Special Events","Hire Table Skirts for Weddings Birthdays & Special Events at PartyZone 09 4421442 ","","Hire Table Skirts","0",
"54479","13269","69931/images/101164/categories/Popcorn_and_hot_dog_Machine.jpg"," ","Party_Hire_Auckland_Popcorn-machine.html","0","0","_","101","100",,,"Popcorn & Hot Dog Machine Hire from PartyZone 09 4421442",,"Popcorn Machine and Hot Dog Steamer Hire","0",
"67993","13354","69931/images/Category_Diggin_for_Dino.jpg"," ","Diggin_for_Dino_Part_Supplies.html","0","0","_","104","100",,,"Diggin For Dino Party Supplies at PartZone 09 4421442","","Diggin For Dino","0",
"55262","35384","69931/images/Hire_Cutlery_Category_HIB.jpg"," ","Party_Hire_Auckland_Cutlery_Knives_Forks_Spoons.html","0","0","_","101","100",,"Party Hire Auckland Cutlery Knives Forks Spoons at PartyZone 09 4421442","Party Hire Auckland Cutlery Knives Forks Spoons at PartyZone 09 4421442","Hire Knives, forks, spoons etc","Hire Cutlery & Serving Items","0",
"55271","35384","69931/images/Hire_Vases___candelabra_Category_HIB.jpg"," ","Auckland_Party_Hire_Candelabras_Vases.html","0","0","_","101","100",,,"Hire Vases & candelabras at PartyZone 09 4421442","","Hire Vases & Candelabras","0",
"55272","35384",""," ","Party_Hire_Auckland_Conference_equipment.html","0","0","_","101","100",,,"Hire projector screen & conference equipment PartyZone 09 4421442","","Hire Conference & Office","0",
"55269","35384",""," ","Party_Hire_Auckland_Umbrellas.html","0","0","_","101","100",,,"Hire Umbrellas at PartyZone 09 4421442","","Hire Outdoor Accessories","0",
"55267","35384","69931/images/Hire_Platters___baskets_Category_HIB.jpg"," ","Auckland_Party_Hire_Platters.html","0","0","_","101","100",,,"Hire platters and baskets at PartyZone 09 4421442","","Hire Platters & Baskets","0",
"68140","13353","69931/images/categories/Category_Party_Scene_Investigation.jpg"," ","Party_Supplies_Scene_Investigation.html","0","0","_","104","13",,,"PSI Party Scene Invstigation - who dunnit fun stuff at PartyZone 09 4421442",,"PSI Party Scene Investigation","0",
"54152","13354","69931/images/Category_Under_the_Sea.jpg"," ","Childrens-party-theme-Under-The-Sea_supplies.html","0","0","_","104","100","","","Childrens Party Theme Under the Sea Childrens themes at PartyZone 09 4421442 ","Party Ware","Under The sea","0",
"34330","13354","69931/images/0/Camo_Category_Picture.jpg"," ","Camoflage-Childrens-Party-Supplies.html","0","0","_","104","100","Camoflage Childrens Party Supplies","Camoflage Childrens Party Supplies","Camoflage Childrens Party Supplies at PartyZone 09 4421442 ","","Camoflage","0",
"13274","13269","69931/images/101164/Category_Lights___Smoke.jpg",,"Light-Hire.html","0","0","_","101","100",,"Hire Party Lights Hire Laser Lights Hire Fairy Lights Disco Lights and Hire- Sound activated Lights, Black Lights, Strobe Lights, Smoke, Bubble","Lights Hire and Effects at PartyZone 09 4421442 ","Many options","Lights Hire & Effects","0",
"28688","13354","69931/images/101164/Category_Championship_Soccer.jpg"," ","Soccer-Childrens-Party_supplies.html","0","0","_","104","100","Soccer Children's Party supplies","Soccer Children's Party supplies","Soccer / Football Children's Party supplies at PartyZone 09 4421442 ",,"Soccer / Football","0",
"13295","0","69931/images/101164/Category_Tableware.jpg",,"Disposable_Tableware.html","0","0","_","103","11","Party Supplies Tableware","Party Tableware","Disposable Tableware at PartyZone 09 4421442 ",,"Disposable Tableware Bags Boxes","0",
"35441","35384","69931/images/Category_Event_Hire_a.jpg"," ","Marquee_Hire_Auckland.html","0","0","_","101","100",,"Hire Marquees for Weddings Birthdays & Special Events","Marquee Hire Auckland for Weddings Birthdays big and small ao PartyZone 09 4421442",,"Hire Tents & Marquees","0",
"35466","35384","69931/images/Category_Table_Runners.jpg"," ","Auckland_Party_Hire_Chair_accents_Table_Runners.html","0","0","_","101","100","Hire Table Runners Linen Weddings Birthdays Events","Hire Table Runners for Weddings Birthdays & Special Events","Hire Table Runners & chair accents for Weddings Birthdays & Special Events at PartyZone 09 4421442 ","","Hire Runners & Chair Accents","0",
"35439","35384","69931/images/Category_Table_Cover_Square.jpg"," ","Auckland_Party_Hire-Linen-Square-Table-Covers.html","0","0","_","101","100","Hire Square Table Covers Linen Weddings Birthdays Events","Hire Square Table Covers for Weddings Birthdays & Special Events","Hire Square Table Covers for Weddings Birthdays & Special Events","","Hire Table Covers - Square","0",
"35431","35384","69931/images/Category_Overlays.jpg"," ","Auckland_Party_Hire-Table-Overlays.html","0","0","_","101","100","Hire Table Linen Overlays Weddings Birthdays Events","Hire Table Overlays for Weddings Birthdays & Special Events","Hire Table Overlays for Weddings Birthdays & Special Events at PartyZone 09 4421442 ","","Hire Table Overlays","0",
"13296","13270","69931/images/101164/Category_Candles.jpg",,"Birthday-Candles.html","0","0","_","100","100",,"Birthday and Party Candles - Novelty and Numbers - Big Range","Birthday and Party Candles - big range at PartyZone 09 4421442",,"Candles","0",
"13381","13354","69931/images/101164/Category_Disney_Fairies.jpg",,"Disney-Fairies_party_supplies.html","0","0","_","104","100","Disney Fairies Children's Party Supplies Tinkerbell","Disney Fairies Children's Party Supplies","Disney Fairies Children's Party Supplies at PartyZone 09 4421442 ","","Disney Fairies & Fairies","0",
"13374","13354","69931/images/101164/Category_Dinosaurs.jpg",,"dinosaur-theme-party_supplies.html","0","0","_","104","100","Dinosaur Children's Party Supplies","Dinosaur Children's Party Supplies","Dinosaur Children's Party Supplies at PartyZone 09 4421442 ","","Dinosaurs","0",
"84213","13295","69931/images/categories/Noodle_Box_Category.jpg"," ","Noodle_box.html","0","0","_","101","100",,"Noodle Boxes and Party Boxes at PartyZone 09 4421442","See Noodle Boxes and Party Boxes at PartyZone 09 4421442",,"Noodle Boxes & Food Boxes","0",
"84214","13295","69931/images/categories/Category_Plates.jpg"," ","Plastic_Plates.html","0","0","_","101","100",,"Disposable & Plastic Plates in lots of colours","Disposable & Plastic Plates in lots of colours at PartyZone 09 4421442",,"Plates Plastic and Paper","0",
"48257","13269","69931/images/Category_Sammy_the_Steam_Train.jpg"," ","sammy-the-childrens-ride-on-toy-steam-train.html","0","0","_","101","100","Sammy Rideon Train Ride Fundraiser School Gala Thomas the Tank Engine","Childrens Ride On Train for Birthdays School Galas Fundraisers ","Sammy the Childrens Ride on Toy Steam Train at PartyZone 09 4421442 ","He toots, blows smoke and chuffs around - the littleies love him - fabulous fund raiser!!","Sammy the Steam Train","0",
